
a	 : 2
com.amtec-corp	 : 2
com.amx	 : 2
com.anacomp	 : 1
com.analog	 : 3
com.andataco	 : 1
com.anders	 : 2
com.andrulis.sh	 : 1
com.andyne	 : 1
com.anet-chi	 : 2
com.anet-dfw	 : 3
com.anet-stl	 : 4
com.aniq	 : 1
com.anixter-west	 : 1
com.annex	 : 2
com.ansa	 : 2
com.ansoft	 : 1
com.answer	 : 1
com.anza	 : 3
com.aol.ipt	 : 5
com.aol.ops	 : 1
com.aol.proxy	 : 5
com.aol.proxy.www-a2	 : 1
com.aol.proxy.www-d3	 : 1
com.aol.proxy.www-e8	 : 1
com.aol.proxy.www-f2	 : 1
com.aol.proxy.www-h1	 : 1
com.aol.proxy.www-h2	 : 1
com.aol.proxy.www-h3	 : 1
com.aol.proxy.www-j2	 : 1
com.aol.proxy.www-k1	 : 1
com.aol.proxy.www-l1	 : 1
com.aol.proxy.www-l9	 : 1
com.aol.proxy.www-m1	 : 1
com.aol.proxy.www-n1	 : 1
com.aol.sales	 : 2
com.aol.tucson	 : 2
com.aolproductions	 : 1
com.aone.asto	 : 3
com.aone.clat	 : 2
com.aone.long	 : 3
com.aone.rain	 : 5
com.aone.vanc	 : 4
com.aonline	 : 5
com.aosmith.ctc	 : 1
com.aotech	 : 1
com.apache	 : 1
com.apcc.software	 : 1
com.apci	 : 4
com.apdfw	 : 1
com.apertus	 : 3
com.apertus.bls	 : 1
com.apertus.esg	 : 1
com.apex	 : 2
com.apexsc	 : 2
com.apl	 : 3
com.aplatform	 : 1
com.apple	 : 5
com.apple.afsg	 : 1
com.apple.atg	 : 3
com.apple.austin	 : 2
com.apple.europe	 : 1
com.apple.kip	 : 3
com.apple.online	 : 5
com.applicom	 : 1
com.appsmiths	 : 1
com.apta	 : 2
com.aquila	 : 5
com.aracnet	 : 5
com.aramco	 : 5
com.arbitron	 : 1
com.arbortext	 : 1
com.arcada	 : 1
com.arco	 : 5
com.arco.inetg1	 : 1
com.ardis	 : 1
com.arentfox	 : 1
com.arete	 : 2
com.ariel-sdo	 : 1
com.arinc	 : 1
com.ark	 : 5
com.ark-la-tex	 : 1
com.arkansasusa	 : 1
com.arris	 : 1
com.arrowsmith	 : 1
com.arstpa	 : 1
com.artelco	 : 1
com.artemis	 : 1
com.artgraphics	 : 2
com.artisoft	 : 1
com.asaint	 : 1
com.asante	 : 1
com.asb	 : 5
com.ascend	 : 2
com.asg.gr	 : 1
com.ashland	 : 2
com.asi	 : 2
com.asianconnect	 : 1
com.aspentec	 : 3
com.asset	 : 2
com.assocdata	 : 2
com.astra	 : 3
com.astrobyte	 : 1
com.astrochart	 : 1
com.atc-usa	 : 4
com.atcon	 : 5
com.atcon.ant	 : 1
com.atcon.bar	 : 2
com.atcon.cht	 : 1
com.atcon.crb	 : 2
com.atcon.edm	 : 1
com.atcon.han	 : 1
com.atcon.hfx	 : 3
com.atcon.liv	 : 1
com.atcon.mby	 : 1
com.atcon.mid	 : 1
com.atcon.mon	 : 1
com.atcon.ngw	 : 1
com.atcon.sum	 : 1
com.atcon.syd	 : 1
com.atcon.tru	 : 1
com.atcon.yar	 : 1
com.atcor	 : 1
com.atdesk	 : 2
com.atex	 : 1
com.atext	 : 5
com.atext.crimpshrine	 : 1
com.athensnet	 : 2
com.atinc.np	 : 1
com.atk	 : 3
com.atk.sac	 : 1
com.atk.wa	 : 3
com.atlanta	 : 5
com.atlanta.ka4ybr	 : 1
com.atlnta	 : 1
com.atlsysnet	 : 2
com.atmnet	 : 2
com.atom	 : 1
com.atria	 : 1
com.att	 : 5
com.att.research	 : 5
com.attgis	 : 5
com.attws	 : 3
com.atu	 : 3
com.atwood	 : 1
com.aucnet	 : 1
com.aug	 : 5
com.aughey	 : 1
com.aui	 : 2
com.auschron	 : 1
com.auspex	 : 2
com.aust.pc96	 : 1
com.ausven	 : 1
com.autobaun	 : 3
com.autodesk	 : 4
com.automata	 : 4
com.autometric	 : 3
com.autometric.cs	 : 1
com.avanticorp.rtp	 : 1
com.avcom	 : 2
com.avicom	 : 1
com.avid	 : 4
com.avn-net	 : 1
com.avnet.asic	 : 1
com.avnet.hh.tsc	 : 1
com.awinc	 : 5
com.awinc.abc	 : 5
com.awinc.access	 : 4
com.awinc.aim	 : 4
com.awinc.bowest	 : 2
com.awinc.commpass	 : 5
com.awinc.doublet	 : 1
com.awinc.eid	 : 5
com.awinc.focal	 : 3
com.awinc.fortress	 : 1
com.awinc.future	 : 2
com.awinc.hmtnet	 : 3
com.awinc.jetstream	 : 1
com.awinc.kaien	 : 4
com.awinc.kootenay	 : 2
com.awinc.kootenay2	 : 3
com.awinc.microage-ll	 : 4
com.awinc.microage-tb	 : 2
com.awinc.mlc	 : 5
com.awinc.onramp	 : 3
com.awinc.onramp2	 : 3
com.awinc.rapid	 : 3
com.awinc.stardate	 : 4
com.awinc.teledisc	 : 5
com.awinc.vancouver	 : 2
com.awinc.vbcs	 : 3
com.awinc.victoria	 : 3
com.awod	 : 5
com.aws	 : 1
com.awsom	 : 1
com.ax	 : 1
com.axess	 : 4
com.axil	 : 1
com.axionet	 : 5
com.axionet.mb240	 : 1
com.axis	 : 1
com.axnet	 : 1
com.axxis	 : 1
com.ayce	 : 1
com.ayuda	 : 1
com.az	 : 5
com.azhsv	 : 1
com.azlink	 : 1
com.azstarnet	 : 5
com.azstarnet.usr11ip40	 : 1
com.azstarnet.usr3ip27	 : 1
com.azstarnet.usr4ip59	 : 1
com.azstarnet.usr5ip37	 : 1
com.azstarnet.usr7ip56	 : 1
com.azstarnet.usr8ip16	 : 1
com.azstarnet.usr8ip33	 : 1
com.azstarnet.usr8ip41	 : 1
com.azstarnet.usr8ip61	 : 1
com.b-f	 : 3
com.babss.wi	 : 3
com.bah	 : 3
com.bah.apj	 : 1
com.bah.jmb	 : 5
com.bah.sur	 : 1
com.bah.usae	 : 3
com.bah.usaw	 : 3
com.bailey	 : 4
com.baka	 : 3
com.bakerbooks	 : 5
com.ball	 : 5
com.ballistic	 : 5
com.bally	 : 2
com.bande	 : 1
com.bankamerica	 : 2
com.bannerprod	 : 1
com.banyan	 : 3
com.baraboo	 : 1
com.barr	 : 2
com.barra	 : 4
com.basf-corp	 : 5
com.basilar	 : 1
com.basistech	 : 1
com.basix	 : 5
com.batnet	 : 2
com.baxter.roundlake	 : 1
com.baxter.roundlake.xp1mpg2	 : 1
com.baxter.subnet159-198-100	 : 1
com.baxter.subnet159-198-129	 : 1
com.baxter.subnet159-198-17	 : 2
com.baxter.subnet159-198-170	 : 1
com.baxter.subnet159-198-172	 : 2
com.baxter.subnet159-198-18	 : 1
com.baxter.subnet159-198-234	 : 1
com.baxter.subnet159-198-33	 : 1
com.baxter.subnet159-198-34	 : 1
com.baxter.subnet159-198-56	 : 1
com.baxter.subnet159-198-72	 : 1
com.baxter.subnet159-198-73	 : 2
com.baxter.subnet159-198-88	 : 1
com.baxter.subnet167-83-11	 : 1
com.baxter.subnet167-83-12	 : 1
com.baxter.subnet167-83-15	 : 1
com.baxter.subnet167-83-18	 : 1
com.bayer	 : 4
com.baynetworks	 : 1
com.baynetworks.corpeast	 : 3
com.bayou	 : 5
com.bbn	 : 4
com.bbnplanet	 : 1
com.bbnplanet.soc	 : 1
com.bbsa	 : 1
com.bbsnet	 : 3
com.bbt	 : 3
com.bbtt	 : 3
com.bcbsct	 : 1
com.bcbsma	 : 1
com.bcbsnd	 : 2
com.bcbso	 : 1
com.bcc-empl	 : 3
com.bccom	 : 1
com.bcn	 : 1
com.bctm	 : 2
com.bdm	 : 5
com.bdmg	 : 2
com.bdsi	 : 1
com.bdsnet	 : 4
com.bdt	 : 2
com.bdt.dial-up	 : 3
com.beachnet	 : 1
com.bear	 : 5
com.bechtel	 : 4
com.beckett	 : 3
com.beckman.bdc	 : 1
com.beechmont	 : 1
com.bell-atl	 : 4
com.bellahs	 : 1
com.bellatlantic	 : 5
com.bellcore	 : 3
com.bellcore.bae	 : 2
com.bellcore.base	 : 2
com.bellcore.cc	 : 5
com.bellcore.ctt	 : 1
com.bellcore.esp	 : 2
com.bellcore.facs	 : 3
com.bellcore.gamekeeper	 : 1
com.beluga	 : 1
com.bender	 : 1
com.bendnet	 : 5
com.bensoft	 : 1
com.bentley	 : 5
com.bently	 : 1
com.berger	 : 1
com.berksys	 : 3
com.bermac	 : 1
com.bernstein	 : 2
com.best	 : 3
com.best.vip	 : 5
com.bestbuy	 : 1
com.bfg	 : 1
com.bfm	 : 1
com.bga	 : 3
com.bgbbs	 : 1
com.bgc	 : 2
com.bgcc	 : 1
com.bglobal	 : 3
com.bhduk	 : 1
com.bhsi.bhi	 : 1
com.biblenet	 : 2
com.biddeford	 : 5
com.bigbear	 : 2
com.bigeasy	 : 3
com.biosym	 : 1
com.bison	 : 1
com.bitmailer	 : 3
com.bitshop	 : 1
com.bix	 : 1
com.bizserve	 : 1
com.bjke	 : 4
com.bkbank	 : 4
com.bkrycft	 : 1
com.blacdisc	 : 4
com.blackbear	 : 1
com.blackburn	 : 1
com.blackhills	 : 5
com.blackstar	 : 2
com.blinksoft	 : 1
com.blkbox	 : 3
com.blol	 : 1
com.bloodstockwww	 : 1
com.bloomberg	 : 3
com.bls.adclab	 : 1
com.bls.bst	 : 5
com.bls.pcs.com	 : 1
com.bluebird	 : 2
com.bluegrassbbs	 : 1
com.bluehawk	 : 5
com.bluestone	 : 3
com.blyonline	 : 3
com.bmc	 : 5
com.bmdp	 : 2
com.bmgmusic	 : 2
com.bminet	 : 1
com.bms	 : 5
com.bmts	 : 2
com.bna	 : 1
com.bnr.iss	 : 2
com.boa	 : 1
com.boehringer	 : 1
com.boeing	 : 5
com.boeing.www-fw-proxy3	 : 1
com.bookpage	 : 4
com.books.staff	 : 1
com.bookwire	 : 1
com.boole	 : 2
com.bopi	 : 1
com.borg	 : 5
com.borland	 : 2
com.bose	 : 2
com.bossnt	 : 5
com.boulevards	 : 1
com.boutell	 : 1
com.bowne	 : 3
com.boxhill	 : 1
com.bp	 : 4
com.brainiac	 : 2
com.bramco	 : 3
com.brats	 : 1
com.brba	 : 1
com.bre	 : 1
com.brecknet	 : 3
com.bridge	 : 3
com.brigadoon	 : 5
com.bristol	 : 1
com.brite.wichita	 : 2
com.broadvision	 : 1
com.broc	 : 1
com.brodart	 : 2
com.broder	 : 4
com.brokersys	 : 1
com.brooks	 : 1
com.brooktree.is	 : 5
com.bruno	 : 3
com.bryker	 : 1
com.bsan	 : 3
com.bsdi	 : 1
com.bserv	 : 1
com.bsgi	 : 1
com.bslnet	 : 4
com.bsmwl	 : 3
com.bso	 : 4
com.bsr	 : 1
com.bt.campus	 : 1
com.bt.nat	 : 1
com.bt.nat.wins	 : 1
com.btaarc	 : 1
com.btco	 : 3
com.btg	 : 1
com.btigate	 : 2
com.btinternet	 : 3
com.btna	 : 2
com.btrieve	 : 2
com.btsslc	 : 1
com.buckle	 : 1
com.buckman	 : 3
com.bull.az05	 : 5
com.bulloch	 : 1
com.bunt	 : 1
com.burgoyne	 : 5
com.burgoyne.sl57	 : 1
com.burnsmcd	 : 1
com.busch	 : 3
com.buttenet	 : 3
com.bv	 : 4
com.bykgardnerusa	 : 2
com.bznet	 : 1
com.c-cube	 : 1
com.c2i2	 : 1
com.cablew	 : 4
com.cabot-ar	 : 2
com.caci.hq	 : 2
com.cadence	 : 4
com.cadre	 : 1
com.cadvision	 : 5
com.cadworks	 : 1
com.caere	 : 1
com.cafeinet	 : 1
com.cafenono	 : 1
com.cag	 : 2
com.cahners	 : 2
com.cai	 : 3
com.cais	 : 5
com.calaudio	 : 2
com.calcomp	 : 2
com.calibersys	 : 2
com.california	 : 5
com.callamer	 : 5
com.callamer.dialup.snlo	 : 3
com.callnet	 : 1
com.calon	 : 5
com.calspan	 : 3
com.caltel	 : 1
com.calweb	 : 4
com.calypso	 : 5
com.camax	 : 1
com.camba	 : 2
com.camitel.dialup	 : 1
com.campo	 : 1
com.campus	 : 1
com.camtronics	 : 3
com.canada	 : 1
com.canby	 : 5
com.candid	 : 1
com.candle	 : 4
com.cannet	 : 4
com.cantor	 : 1
com.canuck	 : 5
com.capitalnet	 : 2
com.capitalone	 : 2
com.capitol-nash	 : 1
com.caprica	 : 1
com.caps	 : 1
com.caribsurf	 : 5
com.carlson	 : 3
com.carolina-chat	 : 2
com.carroll	 : 5
com.carsinfo	 : 2
com.cas-inc	 : 2
com.casc	 : 1
com.cascorp.ptl	 : 1
com.casecorp	 : 1
com.cashways	 : 3
com.castleholt	 : 1
com.castles	 : 5
com.cat	 : 5
com.catapent	 : 1
com.catch22	 : 1
com.caverns	 : 3
com.caverns.pm1	 : 2
com.cb-crgi	 : 1
com.cbdinc	 : 2
com.cbsinet	 : 2
com.ccabc	 : 1
com.ccc-bbs	 : 1
com.cccc	 : 1
com.ccci	 : 1
com.cch	 : 5
com.cch.lis	 : 1
com.cci	 : 1
com.ccia	 : 3
com.ccis	 : 1
com.ccmail	 : 1
com.ccnet	 : 5
com.ccp	 : 5
com.ccrtc	 : 1
com.ccsi	 : 5
com.ccsinc	 : 3
com.ccsnet	 : 5
com.cctt	 : 5
com.ccur.westford	 : 2
com.cd	 : 2
com.cdac	 : 1
com.cdc	 : 1
com.cde	 : 2
com.cdev	 : 5
com.cdev.canada	 : 2
com.cdev.canada.csd	 : 3
com.cdmnet.30	 : 1
com.cdmnet.32	 : 1
com.cdmnet.38	 : 1
com.cdmnet.50	 : 2
com.cdmnet.53	 : 1
com.cdmnet.69	 : 1
com.cdmnet.74	 : 1
com.cdmnet.88	 : 1
com.cdmnet.89	 : 1
com.cdn-news	 : 1
com.cdrom	 : 1
com.cdsi	 : 2
com.ceco	 : 4
com.cedarnet	 : 1
com.cel	 : 1
com.centcon	 : 5
com.centercomp	 : 2
com.centerline	 : 1
com.centigram	 : 2
com.cerfnet	 : 1
com.cerfnet.cerritos	 : 1
com.cerfnet.cit	 : 3
com.cerfnet.isdn-cit	 : 1
com.cerfnet.isdn-sd	 : 1
com.cerfnet.palto	 : 1
com.cerfnet.sdsc	 : 2
com.cerfnet.ucla	 : 2
com.cerfnet.ucop	 : 1
com.cerfnet.usa	 : 3
com.cet	 : 3
com.cetac	 : 4
com.cfg	 : 1
com.cftnet	 : 3
com.cftnet.ppp240	 : 1
com.cftnet.ppp241	 : 1
com.cftnet.ppp244	 : 1
com.cftnet.ppp246	 : 1
com.cftnet.ppp252	 : 1
com.cfw	 : 4
com.cfw.cybercafe	 : 1
com.cgl	 : 1
com.cgllaw	 : 2
com.ch2m	 : 4
com.chaimson	 : 1
com.champint	 : 2
com.channel1	 : 5
com.charro	 : 4
com.chatlink	 : 5
com.checkfree	 : 1
com.checkpoint	 : 1
com.chembank	 : 1
com.chensys	 : 2
com.chesco	 : 4
com.cheshire-med	 : 2
com.chestnet	 : 1
com.chevron	 : 5
com.chey	 : 3
com.chickasaw	 : 4
com.chicobbs	 : 1
com.china	 : 2
com.chiron	 : 1
com.chorus	 : 1
com.chotel	 : 1
com.christwh	 : 1
com.chron	 : 5
com.chronicle	 : 3
com.chrysalis	 : 1
com.chrysler.is	 : 1
com.churchgn	 : 1
com.churchillmed.nyc	 : 1
com.cia	 : 4
com.cia-g	 : 1
com.ciaccess.chatham	 : 4
com.ciba.chbs	 : 1
com.ciba.ussu	 : 1
com.cibadiag	 : 2
com.cici	 : 1
com.cideo	 : 1
com.ciinc	 : 4
com.cimtegration	 : 3
com.cinbell	 : 2
com.cincom	 : 5
com.cinergy	 : 5
com.cinesite	 : 1
com.cinetwork	 : 2
com.cinweb	 : 1
com.cioe	 : 3
com.cioe.mer	 : 5
com.cirrus	 : 5
com.cisco	 : 5
com.cisn	 : 1
com.cisnet	 : 5
com.cisys	 : 1
com.citicom	 : 5
com.citicorp	 : 5
com.citilink	 : 1
com.city-net	 : 4
com.cjnetworks	 : 4
com.cl-sys	 : 2
com.clandjop	 : 3
com.clarify	 : 1
com.claris	 : 4
com.clarity	 : 3
com.clarityconnect	 : 3
com.cldx	 : 5
com.cleaf	 : 5
com.clearsys	 : 1
com.clinicom	 : 2
com.clo	 : 4
com.clorox	 : 4
com.cloudnet	 : 5
com.clubnetct	 : 3
com.cmact	 : 3
com.cmaster	 : 1
com.cmd	 : 2
com.cmhcsys	 : 2
com.cmi.cs	 : 3
com.cmi.ms	 : 1
com.cml	 : 5
com.cmnet	 : 1
com.cmp	 : 2
com.cnct	 : 5
com.cnetech	 : 5
com.cneti	 : 5
com.cng	 : 2
com.cnmnet	 : 4
com.cnmw	 : 1
com.cntfl.ftm	 : 2
com.cntfl.tlh	 : 1
com.cnw	 : 5
com.coastalnet	 : 5
com.coastnet	 : 4
com.coat	 : 3
com.coats	 : 1
com.cobe	 : 4
com.coconet	 : 3
com.codem	 : 1
com.coelacanth	 : 1
com.coffey	 : 4
com.cognos	 : 2
com.coil	 : 5
com.cois	 : 1
com.colpal	 : 2
com.com21	 : 3
com.combase	 : 3
com.comcat	 : 2
com.comcom	 : 1
com.comcomsystems	 : 1
com.comdial.is	 : 1
com.comdinet	 : 1
com.comland	 : 3
com.comm-data	 : 1
com.comm2net	 : 2
com.commdesign	 : 2
com.commerce	 : 4
com.commscope	 : 2
com.commtech	 : 2
com.comnet	 : 1
com.compaq	 : 5
com.compass-da	 : 2
com.compassnet	 : 3
com.compassnet.ts-hou1-13-7	 : 1
com.completenet	 : 1
com.comptons	 : 1
com.compuclub	 : 1
com.compudata	 : 5
com.compugraph	 : 1
com.compumedia	 : 5
com.compuserve	 : 5
com.compuserve.ad04-081	 : 1
com.compuserve.ad12-125	 : 1
com.compuserve.ad34-203	 : 1
com.compuserve.dd47-182	 : 1
com.compuserve.dd69-017	 : 1
com.compuserve.hd45-063	 : 1
com.compuserve.inhouse	 : 5
com.compuserve.md19-052	 : 1
com.computel	 : 1
com.computerland	 : 1
com.computerparts	 : 1
com.computize	 : 5
com.computronix	 : 2
com.compuvar	 : 4
com.compuware	 : 4
com.comresources	 : 4
com.comsat.cts	 : 1
com.comshare	 : 1
com.comteck	 : 3
com.concepta	 : 2
com.concom	 : 5
com.concorde	 : 1
com.condenast	 : 1
com.condorsys	 : 1
com.conknet	 : 5
com.conline	 : 5
com.connaught	 : 1
com.connect	 : 1
com.connecti	 : 5
com.connectinc	 : 2
com.connectnet	 : 5
com.connectnet.tm	 : 3
com.connectsoft	 : 1
com.connectus	 : 1
com.connectusa	 : 2
com.conner	 : 2
com.connix	 : 5
com.consensus	 : 1
com.consilium	 : 1
com.consulan	 : 1
com.consultix	 : 1
com.conterra	 : 3
com.continental	 : 2
com.continet	 : 5
com.convex	 : 3
com.convoke	 : 1
com.copleypress	 : 1
com.copyright	 : 1
com.corange	 : 1
com.corbis	 : 4
com.corcom	 : 5
com.cordant	 : 1
com.coredcs	 : 4
com.coresco	 : 2
com.coretech	 : 5
com.cornerstone	 : 1
com.cornet	 : 4
com.corning	 : 4
com.corpnet	 : 1
com.corptechnologies	 : 1
com.corsair	 : 3
com.corsearch	 : 1
com.corstar	 : 1
com.cortland	 : 1
com.cortx	 : 1
com.counterpoint	 : 1
com.courage	 : 2
com.courant	 : 2
com.cove	 : 1
com.cove.cape	 : 1
com.covebbs	 : 1
com.cowichan	 : 1
com.cowland	 : 1
com.cox.phx	 : 1
com.cp-consulting	 : 1
com.cpeq	 : 2
com.cpicorp	 : 1
com.cplc	 : 4
com.cqc	 : 4
com.cquest	 : 1
com.cra	 : 1
com.crawford	 : 1
com.crawford.de	 : 1
com.cray	 : 5
com.cray.crj	 : 1
com.crc.lsg	 : 2
com.crc.orl	 : 2
com.crc.proxy	 : 1
com.creaf.cli	 : 1
com.creaf.ct	 : 4
com.creativemm	 : 2
com.creativeteam	 : 1
com.crescendosoft	 : 1
com.cresearch	 : 1
com.cris	 : 5
com.crl	 : 5
com.crl.as.atl1	 : 1
com.crl.as.atl2	 : 1
com.crl.as.aus1	 : 1
com.crl.as.hou1	 : 1
com.crl.as.lax1	 : 2
com.crl.as.sac1	 : 1
com.crl.as.sat1	 : 1
com.crl.as.sfo1	 : 2
com.crl.as.sfo3	 : 3
com.crl.as.sfo4	 : 3
com.crl.as.stl1	 : 2
com.crl.as.stl2	 : 2
com.crocker	 : 5
com.crosswind	 : 1
com.croweob	 : 1
com.crownintl	 : 1
com.crso	 : 5
com.crtelco	 : 2
com.cruzio	 : 5
com.crystalball	 : 1
com.crystaldata	 : 1
com.crystalpt	 : 4
com.crystel	 : 1
com.cs	 : 1
com.csbusiness	 : 1
com.csc	 : 4
com.csc.backlick	 : 1
com.csc.consult	 : 1
com.csc.csci	 : 3
com.csc.csci.den	 : 1
com.csc.csci.roc	 : 1
com.csc.dayton	 : 2
com.csc.dialup	 : 2
com.csc.jcals	 : 1
com.csc.sed	 : 4
com.csc.smx	 : 1
com.csc.ssd	 : 1
com.csc.syracuse	 : 1
com.csc.tmgcc	 : 1
com.csc.vtc3190	 : 1
com.csdc	 : 1
com.csdco	 : 1
com.csdcorp	 : 1
com.csfb	 : 2
com.csgflorida	 : 1
com.csh.csfb	 : 1
com.csihq	 : 2
com.csiweb	 : 1
com.csnsys	 : 2
com.csranet	 : 5
com.cssi	 : 1
com.csw	 : 3
com.cswnet	 : 5
com.ctc	 : 1
com.ctctel.dialup	 : 4
com.ctd	 : 2
com.ctenet	 : 2
com.ctenet.dialup.bank1	 : 1
com.ctenet.onalaska	 : 2
com.ctext	 : 1
com.ctg	 : 3
com.cti-pet	 : 1
com.ctinc	 : 2
com.ctnet	 : 3
com.ctp	 : 1
com.ctron	 : 5
com.cts	 : 5
com.cu-online	 : 2
com.cubic.corp	 : 2
com.cuesys	 : 3
com.cultural	 : 1
com.cummins	 : 5
com.cursci.ep	 : 1
com.custinfo	 : 1
com.customcpu	 : 4
com.customer	 : 1
com.cuttedge	 : 1
com.cv	 : 4
com.cvps	 : 1
com.cwnet	 : 5
com.cwo	 : 4
com.cyanamid.pt	 : 2
com.cyb-live	 : 2
com.cyber-dyne	 : 1
com.cyber-quest	 : 2
com.cybercash	 : 2
com.cyberdesic	 : 4
com.cyberelf	 : 1
com.cyberg8t	 : 5
com.cybergate	 : 5
com.cyberia	 : 4
com.cyberlynk	 : 2
com.cybernaute	 : 1
com.cybernauts	 : 1
com.cybernw	 : 5
com.cyberofframp	 : 1
com.cyberoptics	 : 1
com.cyberport	 : 5
com.cyberport.cb	 : 1
com.cybersmith	 : 3
com.cybersolution	 : 1
com.cyberspy	 : 5
com.cyberstreet	 : 2
com.cybertours	 : 4
com.cybertron	 : 3
com.cyberusa	 : 1
com.cyberverse	 : 1
com.cybervil	 : 1
com.cyberware	 : 2
com.cyborganic	 : 1
com.cyborgtech	 : 1
com.cyc	 : 1
com.cyclic	 : 1
com.cyconx	 : 1
com.cygnus	 : 2
com.cynergy	 : 2
com.cynet	 : 2
com.cynosure	 : 1
com.cypress.design	 : 1
com.cypress.mis.pc	 : 1
com.cypronet	 : 2
com.cyprus	 : 1
com.d2	 : 2
com.daedalus	 : 1
com.daimler-benz.str.mbag.ep-mk01	 : 1
com.daknet	 : 5
com.daktel	 : 5
com.dalsemi	 : 4
com.damark	 : 1
com.dancooks	 : 4
com.dancris.mp21	 : 1
com.dania	 : 2
com.dash	 : 3
com.dat	 : 1
com.data-apps	 : 2
com.data-io	 : 1
com.data-max	 : 3
com.dataart	 : 1
com.database	 : 1
com.databridge	 : 1
com.dataex	 : 1
com.datahouse	 : 1
com.datalytics	 : 2
com.datamatic	 : 2
com.dataorg	 : 1
com.dataplusnet	 : 2
com.dataquest	 : 1
com.datarace	 : 2
com.datarace.n5lyt	 : 1
com.datasecom	 : 1
com.datasite	 : 1
com.datasonix	 : 1
com.datastorm	 : 4
com.datasync	 : 5
com.datatamers	 : 1
com.datatamers.dt1	 : 1
com.datatek	 : 4
com.datatools	 : 1
com.datawld	 : 1
com.dataworks	 : 2
com.dba-sys	 : 1
com.dbcity	 : 2
com.dbisna	 : 5
com.dbsoftware	 : 5
com.dca.cin	 : 3
com.dcci	 : 5
com.dcduluth	 : 1
com.dcs-chico	 : 1
com.dcss.hou	 : 2
com.dct	 : 5
com.dcwi	 : 4
com.dcx	 : 1
com.ddbniac	 : 3
com.ddddf	 : 1
com.ddynamics	 : 2
com.dead-parrot	 : 1
com.dec	 : 1
com.dec.das-x	 : 1
com.dec.pa-x	 : 5
com.decipher	 : 1
com.dedot	 : 3
com.deepcove	 : 5
com.deere	 : 5
com.definiti	 : 1
com.delcour-martin	 : 1
com.delec	 : 1
com.delfin.east	 : 1
com.dell.us	 : 2
com.dell.us.ols	 : 1
com.delmarva	 : 4
com.delphi	 : 5
com.delphi.bb	 : 4
com.delphi.beta	 : 4
com.delrina	 : 2
com.delta-air	 : 5
com.delta-eng	 : 1
com.deltainet	 : 3
com.deltanet	 : 5
com.deltanet.ana1039	 : 1
com.deltec	 : 4
com.demnet	 : 3
com.derryfield	 : 1
com.descartes	 : 1
com.desertlinc	 : 1
com.designacc	 : 1
com.designedge	 : 1
com.deskmedia	 : 5
com.destec	 : 1
com.destec.gate1	 : 1
com.destek	 : 1
com.detroitedison	 : 1
com.dg.apex	 : 1
com.dg.canada	 : 5
com.dg.europe	 : 1
com.dg.irvine	 : 1
com.dg.rtp	 : 3
com.dg.us	 : 5
com.dg.webo	 : 4
com.dga	 : 1
com.dgsys	 : 5
com.dgtl.engineering	 : 1
com.dhc.target	 : 4
com.dhl.lhr-sys	 : 1
com.dhl.systems	 : 1
com.dhl.us	 : 1
com.dhr	 : 1
com.dhs	 : 1
com.diac	 : 1
com.dialog.corp	 : 3
com.dialog.east	 : 3
com.diamondmm	 : 2
com.dickens	 : 1
com.diebold.cs	 : 1
com.digalog	 : 1
com.digi-net	 : 1
com.digicool	 : 2
com.digital-cafe	 : 1
com.digital.research.crl	 : 5
com.digital.service	 : 1
com.digitalnet	 : 1
com.digocean	 : 2
com.digpath	 : 2
com.dimarkinc	 : 2
com.dimensional	 : 2
com.dimensional.pm-1	 : 3
com.dimensional.pm-3	 : 1
com.dinfsvs	 : 5
com.direcpc	 : 4
com.directcom	 : 4
com.directmedia	 : 1
com.directnet.net1	 : 1
com.directnet.net2	 : 1
com.directs	 : 2
com.directware	 : 1
com.diro	 : 1
com.disc-net.annex1	 : 1
com.discovery	 : 3
com.disknet	 : 1
com.disney	 : 5
com.disney.wdi.rd	 : 1
com.divi	 : 5
com.divorcecare	 : 4
com.djcs	 : 2
com.dkeep	 : 3
com.dkp	 : 1
com.dl	 : 1
com.dlalaw	 : 1
com.dlcwest	 : 4
com.dlois	 : 1
com.dmccorp	 : 2
com.dmv	 : 2
com.dmv.dover	 : 2
com.dmv.easton	 : 4
com.dmv.milford	 : 5
com.dmv.salisbury	 : 5
com.dnai	 : 5
com.dnai.sj	 : 1
com.dnb	 : 1
com.dnblab	 : 2
com.dncx	 : 1
com.dny	 : 2
com.docker	 : 4
com.document	 : 1
com.dodgenet	 : 3
com.doitnow.phx-ts1-4	 : 1
com.doitnow.phx-ts2-4	 : 1
com.dolby	 : 3
com.donet	 : 2
com.donet.dozen	 : 1
com.donnelly	 : 2
com.dow	 : 5
com.dowco	 : 3
com.dowcornusa	 : 2
com.dowds	 : 1
com.dowelanco	 : 4
com.dowjones	 : 2
com.dptek	 : 4
com.dpw.inet	 : 1
com.dra	 : 3
com.dra.multilis	 : 1
com.dragon-street	 : 1
com.draper	 : 3
com.drc	 : 5
com.dreamscape	 : 4
com.dreamworks	 : 3
com.drink	 : 1
com.dris	 : 5
com.drs	 : 2
com.dsava	 : 2
com.dsc.nt-fcr	 : 1
com.dsccc	 : 3
com.dsccc.camelot	 : 1
com.dscga	 : 2
com.dsinc	 : 1
com.dsmnet	 : 3
com.dsnet	 : 2
com.dsoe	 : 2
com.dsp	 : 1
com.dsr	 : 1
